순번,현장명,공정률,공사규모,재해일자,발생형태,기인물(대),기인물(중),기인물(소),기인물상세,소업종명,규모,직종,연령,성별,근속기간,재해요일,재해시간,재해개요,시설물(대),근로자수
51,Jisan Dongseo Mansion crack repair and repainting work,Less than 70 to 80%,Less than 100 million to 200 million won,20061212,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,16 to 29 people,unclassifiable,47,other,2 months to less than 3 months,tuesday,10 o'clock,"Net '***' was crack repair work on the window frame on the 10th floor of Building 101 (caulking of sash No. 1002) at the Jisan East Mansion crack repair and repainting site being constructed by Mihwa Construction Co., Ltd. at around 10:10 on December 12, 2006. To do work, he went up to the roof of Building 101 on the 15th floor, went down using a rope, and fell to the floor.",Residential and commercial facilities,1
52,Haeundae U-dong residential and commercial complex construction,Less than 40 to 50%,Less than 30 billion to 50 billion won,20061108,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,Construction-related technicians,52,other,less than 1 month,wednesday,15 o'clock,"2006.11.08. Around 15:30, at the Haeundae Wooshin Golden Mercia new construction site being constructed by Wooshin Construction Co., Ltd. located in U-dong, Haeundae-gu, Busan, a masonry worker from Kangil Development Co., Ltd. While dismantling the mobile frame scaffolding (second stage) to move to the 3rd floor, he lost his balance and fell to the floor 3.5m below. He was taken to the hospital and received emergency treatment and surgery, but he died.",Residential and commercial facilities,165
53,Yeongdong Deputy Government Apartment Reconstruction Site,Less than 40 to 50%,More than 100 billion won,20060804,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,less than 5 people,Construction-related technicians,51,other,less than 1 month,friday,08:00,"On August 3, 2006, around 17:10, the deceased who was working on a retaining wall at the Yeongdong Vice Government Apartment reconstruction site disappeared without a word and his whereabouts were unknown. The next morning, he was found dead behind a container box on the first floor. As a result of the autopsy, it was determined that the death was sudden cardiac death.",Residential and commercial facilities,1
54,Jeonju West New Town Lakeside Verdium New Construction Construction Construction,Less than 30 to 40%,Less than 50 billion to 100 billion won,20060607,explosion/rupture,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,Simple construction and mining workers,34,other,less than 1 month,wednesday,14:00,"While cutting a drum of stripping agent using an oxygen welder on the concrete floor in front of Building 105, an explosion and fire occurred, causing burns (50% of the body) and death during hospitalization.",Residential and commercial facilities,320
55,Yeonghwa Apartment Reconstruction Work,Less than 60 ~ 70%,Less than 15 billion to 20 billion won,20070102,hit,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,unclassifiable,47,other,1 month to less than 2 months,tuesday,08:00,"The victim was ‘07. 1. 2 At around 8:30 a.m., the victim was working on moving steel structure with an excavator at the site. The victim hung an H-beam from below and the excavator engineer was moving the H-beam, but the H-beam fell on the victim and went to 119 to Daegu-gu. He was taken to the hospital, but eventually died immediately.",Residential and commercial facilities,109
56,Geumo Jugong Complex 2 Reconstruction Apartment Construction,Less than 70 to 80%,Less than 50 billion to 100 billion won,20061023,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,unclassifiable,43,other,5 months to less than 6 months,monday,11 o'clock,"On October 23, 2006, around 11:30, workers belonging to Jeungsan Construction, a partner company at the “Geumoh Jugong 2 Complex Reconstruction Apartment Construction Site,” located at 344-3 Geumo-dong, Uijeongbu-si, were being constructed by Shindo Construction Co., Ltd. *** While working to remove wall flat tie pins on this portable ladder, he slipped and fell to the floor and died.",Residential and commercial facilities,1
57,Mokdong Tra Palace new construction,Less than 40 to 50%,More than 100 billion won,20061227,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,Technicians and related technical workers,37,other,less than 1 month,wednesday,10 o'clock,"Deceased person 2006. 12. 27 (Wed) around 10:35. During the work of raising the mast in the 1st tower crane of the A-1 tool at the Mokdong Trafelis site, 2 masts were lifted and installed first, and seat belts were fastened in the 3rd master. While doing so, the master broke away and fell with the mast to the first floor above ground and died.",Residential and commercial facilities,703
58,Haeundae Doosan We've Poseidon,unclassifiable,unclassifiable,20060202,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"2,000 people or more",plumber,44,other,6 months to less than 1 year,thursday,14:00,"2006.2.2.14:30, died after falling from the elevator lift on the 5th basement level at the new construction site of Doosan We've Poseidon in Haeundae.",Residential and commercial facilities,1
59,Suyeong-ri Viva Family Apartment Complex 1 new construction and defect repair,Less than 40 to 50%,More than 100 billion won,20061223,Occupational diseases (excluding pneumoconiosis),Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,Construction-related technicians,55,other,6 months to less than 1 year,Saturday,00 o'clock,"The person above was a worker at Seseok Construction Co., Ltd., a subcontractor of Sinchang Construction Co., Ltd. He died of poisonous gas poisoning while checking the ignition status of a briquette stove built for the purpose of producing concrete on the day of the disaster (Sinchang Viva Family, Bongdamsuyeong-ri, Hwaseong) Apartment new construction site)",Residential and commercial facilities,621
60,Changwon Bansong District 1 Reconstruction Apartment Construction Section 2,Less than 70 to 80%,Less than 50 billion to 100 billion won,20070119,fall,Not applicable,Not applicable,Not applicable,Not applicable,Other construction work,100 ~ 199 people,Architectural finishing related skills,59,other,1 month to less than 2 months,friday,15 o'clock,"It was reported that dead wood had fallen on the floor outside the balcony in front of Line 2-3, Building 11, within the construction site. As a result of on-site inspection, the main rope and auxiliary rope (aka: lifeline) were connected to the safety ring installed on the rooftop for the exterior wall grinding work. He forgot to attach it to the bar where the safety net was installed, sat on the safety board, and untied the rope attached to the safety net bar to descend. He fell down to the first floor and died from multiple injuries (refer to the death fact confirmation center).",Residential and commercial facilities,199
61,"Lotte Apartment construction in Yongho-dong, Busan",Less than 80 ~ 90%,Less than 30 billion to 50 billion won,20061019,collapse,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,Construction-related technicians,61,other,less than 1 month,thursday,08:00,"ㅇ Date: 2006.10.19.08:30 ㅇ Location: Yongho-dong Apartment new construction site (located in Yongho-dong, Nam-gu, Busan) ㅇ Details - The above victim was on the upper part of the movable B/T scaffolding (1st stage) to build a flower bed castle on the side of building 107 at the above construction site. In the process of backfilling the back of the castle wall with soil with an excavator during work, the double wall stones collapsed and struck the mobile B/T scaffolding on which the victim was standing, causing the victim to fall (height: approximately 3.7m) onto the outer part of the castle stone. Jaejae Lim was transferred to Pusan ​​National University Hospital and died around 8:40 on October 25, 2006 while receiving treatment.",Residential and commercial facilities,1
